,domain,reachedDomain,start,end,hasErrors,error,originalFile,cmp,cmps,pagerank,rank_group,wronglyTagged,status,statusSimplified,cmp_simplified,cmp_simplified_othered,cmp_simplified_othered_more,tld,tld_othered
7,fastly.net,fastly.com,2022-11-22 09:38:50.098000+00:00,2022-11-22 09:44:14.910000+00:00,False,Successful,results.json_00000000-00000009.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",28,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
22,macromedia.com,adobe.com,2022-11-22 09:44:10.562000+00:00,2022-11-22 09:50:49.712000+00:00,False,Successful,results.json_00000020-00000029.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",82,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
24,omtrdc.net,adobe.com,2022-11-22 09:44:14.911000+00:00,2022-11-22 09:52:01.075000+00:00,False,Successful,results.json_00000020-00000029.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",96,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
32,fbcdn.net,facebook.com,2022-11-22 09:50:39.129000+00:00,2022-11-22 09:55:03.269000+00:00,False,Successful,results.json_00000030-00000039.json,Facebook,['Facebook'],161,"(0, 10000]",False,successful,successful,Facebook,other,other,net,net
39,linode.com,www.linode.com,2022-11-22 09:53:25.428000+00:00,2022-11-22 09:58:04.563000+00:00,False,Successful,results.json_00000030-00000039.json,trustarc_popup_hider,"['trustarc_popup_hider', 'trustarcframe']",187,"(0, 10000]",False,successful,successful,trustarc,other,trustarc,com,com
42,demdex.net,adobe.com,2022-11-22 09:56:01.357000+00:00,2022-11-22 10:00:33.101000+00:00,False,Successful,results.json_00000040-00000049.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",228,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
50,aliyun.com,alibabacloud.com,2022-11-22 09:57:01.526000+00:00,2022-11-22 10:03:51.613000+00:00,False,Successful,results.json_00000050-00000059.json,trustarcbar,"['trustarcbar', 'trustarc_popup_hider', 'trustarcframe']",232,"(0, 10000]",False,successful,successful,trustarc,other,trustarc,com,com
58,zendesk.com,zendesk.de,2022-11-22 10:02:44.013000+00:00,2022-11-22 10:08:24.825000+00:00,False,Successful,results.json_00000050-00000059.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",274,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
61,adobe.io,adobe.com,2022-11-22 10:04:33.102000+00:00,2022-11-22 10:10:00.335000+00:00,False,Successful,results.json_00000060-00000069.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",299,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,io,io
65,att.net,yahoo.com,2022-11-22 10:05:20.299000+00:00,2022-11-22 10:12:36.297000+00:00,False,Successful,results.json_00000060-00000069.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",309,"(0, 10000]",False,successful,successful,yahoo,other,other,net,net
68,unity3d.com,unity.com,2022-11-22 10:07:51.653000+00:00,2022-11-22 10:13:03.371000+00:00,False,Successful,results.json_00000060-00000069.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",318,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
72,aol.com,yahoo.com,2022-11-22 10:13:51.352000+00:00,2022-11-22 10:18:36.781000+00:00,False,Successful,results.json_00000070-00000079.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",344,"(0, 10000]",False,successful,successful,yahoo,other,other,com,com
73,yelp.com,yelp.de,2022-11-22 10:13:51.354000+00:00,2022-11-22 10:19:30.119000+00:00,False,Successful,results.json_00000070-00000079.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",353,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
91,fb.com,facebook.com,2022-11-22 10:24:41.642000+00:00,2022-11-22 10:28:44.180000+00:00,False,Successful,results.json_00000090-00000099.json,Facebook,['Facebook'],408,"(0, 10000]",False,successful,successful,Facebook,other,other,com,com
92,techcrunch.com,yahoo.com,2022-11-22 10:25:47.937000+00:00,2022-11-22 10:29:58.343000+00:00,False,Successful,results.json_00000090-00000099.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",410,"(0, 10000]",False,successful,successful,yahoo,other,other,com,com
103,herokuapp.com,heroku.com,2022-11-22 10:28:25.207000+00:00,2022-11-22 10:34:34.178000+00:00,False,Successful,results.json_00000100-00000109.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",423,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
141,typeform.com,www.typeform.com,2022-11-22 10:50:49.838000+00:00,2022-11-22 10:57:08.852000+00:00,False,Successful,results.json_00000140-00000149.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",620,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
148,fb.me,facebook.com,2022-11-22 10:55:34.156000+00:00,2022-11-22 11:00:26.373000+00:00,False,Successful,results.json_00000140-00000149.json,Facebook,['Facebook'],644,"(0, 10000]",False,successful,successful,Facebook,other,other,me,other
152,adobe.net,adobe.com,2022-11-22 10:56:56.139000+00:00,2022-11-22 11:01:53.005000+00:00,False,Successful,results.json_00000150-00000159.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",645,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
171,ecdns.net,edg.io,2022-11-22 11:03:51.422000+00:00,2022-11-22 11:09:28.854000+00:00,False,Successful,results.json_00000170-00000179.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",715,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
192,bluekai.com,oracle.com,2022-11-22 11:15:19.502000+00:00,2022-11-22 11:20:26.565000+00:00,False,Successful,results.json_00000190-00000199.json,trustarc_popup_hider,"['trustarc_popup_hider', 'trustarcframe']",813,"(0, 10000]",False,successful,successful,trustarc,other,trustarc,com,com
198,sun.com,oracle.com,2022-11-22 11:15:55.843000+00:00,2022-11-22 11:23:41.031000+00:00,False,Successful,results.json_00000190-00000199.json,trustarc_popup_hider,"['trustarc_popup_hider', 'trustarcframe']",832,"(0, 10000]",False,successful,successful,trustarc,other,trustarc,com,com
204,engadget.com,yahoo.com,2022-11-22 11:22:04.709000+00:00,2022-11-22 11:26:15.840000+00:00,False,Successful,results.json_00000200-00000209.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",859,"(0, 10000]",False,successful,successful,yahoo,other,other,com,com
205,geocities.com,yahoo.com,2022-11-22 11:22:32.702000+00:00,2022-11-22 11:27:08.978000+00:00,False,Successful,results.json_00000200-00000209.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",862,"(0, 10000]",False,successful,successful,yahoo,other,other,com,com
210,swisscom.com,swisscom.ch,2022-11-22 11:11:09.688000+00:00,2022-11-22 11:30:13.040000+00:00,False,Successful,results.json_00000210-00000219.json,tealium.com,['tealium.com'],782,"(0, 10000]",False,successful,successful,tealium.com,other,tealium.com,com,com
213,criteo.net,criteo.com,2022-11-22 11:26:02.497000+00:00,2022-11-22 11:31:15.021000+00:00,False,Successful,results.json_00000210-00000219.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",887,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
231,wbx2.com,webex.com,2022-11-22 11:36:08.344000+00:00,2022-11-22 11:41:36.762000+00:00,False,Successful,results.json_00000230-00000239.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",957,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
233,everesttech.net,adobe.com,2022-11-22 11:37:37.845000+00:00,2022-11-22 11:42:55.894000+00:00,False,Successful,results.json_00000230-00000239.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",961,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
247,gotowebinar.com,goto.com,2022-11-22 11:44:57.739000+00:00,2022-11-22 11:49:08.922000+00:00,False,Successful,results.json_00000240-00000249.json,trustarcbar,"['trustarcbar', 'trustarc_popup_hider', 'trustarcframe']",1051,"(0, 10000]",False,successful,successful,trustarc,other,trustarc,com,com
251,atl-paas.net,atlassian.com,2022-11-22 11:46:09.531000+00:00,2022-11-22 11:50:49.568000+00:00,False,Successful,results.json_00000250-00000259.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",1053,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
255,skyrock.net,skyrock.com,2022-11-22 11:48:51.436000+00:00,2022-11-22 11:54:41.047000+00:00,False,Successful,results.json_00000250-00000259.json,quantcast2b,['quantcast2b'],1086,"(0, 10000]",False,successful,successful,quantcast,quantcast,quantcast,net,net
257,nflxvideo.net,netflix.com,2022-11-22 11:50:11.240000+00:00,2022-11-22 11:56:29.718000+00:00,False,Successful,results.json_00000250-00000259.json,onetrust_pctab,['onetrust_pctab'],1094,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
265,symantec.com,broadcom.com,2022-11-22 11:54:51.941000+00:00,2022-11-22 12:01:19.641000+00:00,False,Successful,results.json_00000260-00000269.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",1122,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
273,wikia.com,fandom.com,2022-11-22 12:00:46.056000+00:00,2022-11-22 12:09:08.520000+00:00,False,Successful,results.json_00000270-00000279.json,quantcast2,['quantcast2'],1156,"(0, 10000]",False,successful,successful,quantcast,quantcast,quantcast,com,com
285,altervista.org,en.altervista.org,2022-11-22 12:10:55.461000+00:00,2022-11-22 12:15:42.854000+00:00,False,Successful,results.json_00000280-00000289.json,ibuenda,['ibuenda'],1234,"(0, 10000]",False,successful,successful,ibuenda,other,other,org,org
286,netscape.com,yahoo.com,2022-11-22 12:11:48.559000+00:00,2022-11-22 12:15:49.854000+00:00,False,Successful,results.json_00000280-00000289.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",1248,"(0, 10000]",False,successful,successful,yahoo,other,other,com,com
287,oraclecloud.com,oracle.com,2022-11-22 12:10:34.728000+00:00,2022-11-22 12:16:41.274000+00:00,False,Successful,results.json_00000280-00000289.json,trustarc_popup_hider,"['trustarc_popup_hider', 'trustarcframe']",1228,"(0, 10000]",False,successful,successful,trustarc,other,trustarc,com,com
297,app.link,branch.io,2022-11-22 12:16:41.275000+00:00,2022-11-22 12:21:59.289000+00:00,False,Successful,results.json_00000290-00000299.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",1275,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,link,other
318,advertising.com,yahooinc.com,2022-11-22 12:27:30.216000+00:00,2022-11-22 12:34:02.309000+00:00,False,Successful,results.json_00000310-00000319.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",1373,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
324,m.me,messenger.com,2022-11-22 12:33:13.038000+00:00,2022-11-22 12:38:25.323000+00:00,False,Successful,results.json_00000320-00000329.json,Facebook,['Facebook'],1404,"(0, 10000]",False,successful,successful,Facebook,other,other,me,other
330,cbslocal.com,cbsnews.com,2022-11-22 12:35:40.926000+00:00,2022-11-22 12:41:14.855000+00:00,False,Successful,results.json_00000330-00000339.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",1422,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
336,2o7.net,adobe.com,2022-11-22 12:38:57.114000+00:00,2022-11-22 12:44:57.197000+00:00,False,Successful,results.json_00000330-00000339.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",1433,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
346,gettyimages.com,gettyimages.de,2022-11-22 12:45:13.682000+00:00,2022-11-22 12:50:48.182000+00:00,False,Successful,results.json_00000340-00000349.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",1491,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
353,duosecurity.com,duo.com,2022-11-22 12:49:18.258000+00:00,2022-11-22 12:54:50.492000+00:00,False,Successful,results.json_00000350-00000359.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",1548,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
354,audible.com,audible.de,2022-11-22 12:50:40.773000+00:00,2022-11-22 12:56:23.972000+00:00,False,Successful,results.json_00000350-00000359.json,trustarcbar,['trustarcbar'],1549,"(0, 10000]",False,successful,successful,trustarc,other,trustarc,com,com
365,adobelogin.com,adobe.com,2022-11-22 12:57:54.042000+00:00,2022-11-22 13:05:14.156000+00:00,False,Successful,results.json_00000360-00000369.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",1619,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
366,truste.com,trustarc.com,2022-11-22 12:54:50.492000+00:00,2022-11-22 13:05:19.473000+00:00,False,Successful,results.json_00000360-00000369.json,trustarcbar,"['trustarcbar', 'trustarc_popup_hider', 'trustarcframe']",1585,"(0, 10000]",False,successful,successful,trustarc,other,trustarc,com,com
374,umbrella.com,cisco.com,2022-11-22 13:05:19.473000+00:00,2022-11-22 13:13:09.932000+00:00,False,Successful,results.json_00000370-00000379.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",1687,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
375,uplynk.com,edg.io,2022-11-22 13:04:47.991000+00:00,2022-11-22 13:13:34.854000+00:00,False,Successful,results.json_00000370-00000379.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",1658,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
377,guardian.co.uk,theguardian.com,2022-11-22 11:38:13.289000+00:00,2022-11-22 13:13:37.979000+00:00,False,Successful,results.json_00000370-00000379.json,sourcepointpopup,"['sourcepointpopup', 'sourcepoint_frame_2022']",977,"(0, 10000]",False,successful,successful,sourcepoint,sourcepoint,sourcepoint,uk,uk
408,typekit.com,adobe.com,2022-11-22 13:51:52.690000+00:00,2022-11-22 14:01:01.319000+00:00,False,Successful,results.json_00000400-00000409.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",1916,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
416,ustream.tv,ibm.com,2022-11-22 13:56:17.907000+00:00,2022-11-22 14:06:58.370000+00:00,False,Successful,results.json_00000410-00000419.json,trustarcbar,"['trustarcbar', 'trustarc_popup_hider', 'trustarcframe']",1943,"(0, 10000]",False,successful,successful,trustarc,other,trustarc,tv,other
435,yahoo.net,yahoo.com,2022-11-22 14:12:47.719000+00:00,2022-11-22 14:23:37.954000+00:00,False,Successful,results.json_00000430-00000439.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",2036,"(0, 10000]",False,successful,successful,yahoo,other,other,net,net
436,dyn.com,oracle.com,2022-11-22 13:52:10.970000+00:00,2022-11-22 14:23:38.487000+00:00,False,Successful,results.json_00000430-00000439.json,trustarc_popup_hider,"['trustarc_popup_hider', 'trustarcframe']",1933,"(0, 10000]",False,successful,successful,trustarc,other,trustarc,com,com
450,mastercard.com,mastercard.de,2022-11-22 14:23:38.487000+00:00,2022-11-22 14:34:59.233000+00:00,False,Successful,results.json_00000450-00000459.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",2107,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
489,lkqd.net,verve.com,2022-11-22 14:54:28.359000+00:00,2022-11-22 15:08:11.161000+00:00,False,Successful,results.json_00000480-00000489.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",2348,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
505,origin.com,ea.com,2022-11-22 15:08:09.189000+00:00,2022-11-22 15:22:13.963000+00:00,False,Successful,results.json_00000500-00000509.json,trustarcbar,"['trustarcbar', 'trustarc_popup_hider', 'trustarcframe']",2397,"(0, 10000]",False,successful,successful,trustarc,other,trustarc,com,com
514,thomsonreuters.net,thomsonreuters.com,2022-11-22 15:20:48.377000+00:00,2022-11-22 15:30:02.183000+00:00,False,Successful,results.json_00000510-00000519.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",2473,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
522,zopim.com,zendesk.de,2022-11-22 15:30:38.718000+00:00,2022-11-22 15:42:32.418000+00:00,False,Successful,results.json_00000520-00000529.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",2598,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
529,square.site,squareup.com,2022-11-22 15:30:02.186000+00:00,2022-11-22 15:46:59.484000+00:00,False,Successful,results.json_00000520-00000529.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",2594,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,site,other
541,thebalance.com,thebalancemoney.com,2022-11-22 15:46:59.514000+00:00,2022-11-22 15:58:26.144000+00:00,False,Successful,results.json_00000540-00000549.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",2679,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
548,aol.co.uk,yahoo.com,2022-11-22 15:54:56.059000+00:00,2022-11-22 16:04:47.049000+00:00,False,Successful,results.json_00000540-00000549.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",2707,"(0, 10000]",False,successful,successful,yahoo,other,other,uk,uk
564,tapjoy.com,is.com,2022-11-22 16:05:50.162000+00:00,2022-11-22 16:20:40.461000+00:00,False,Successful,results.json_00000560-00000569.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",2783,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
567,bbci.co.uk,bbc.co.uk,2022-11-22 16:11:27.159000+00:00,2022-11-22 16:23:22.241000+00:00,False,Successful,results.json_00000560-00000569.json,bbc_fc,['bbc_fc'],2782,"(0, 10000]",False,successful,successful,funding choices,other,funding choices,uk,uk
570,lnk.to,linkfire.com,2022-11-22 16:16:59.336000+00:00,2022-11-22 16:27:39.922000+00:00,False,Successful,results.json_00000570-00000579.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",2819,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,to,other
593,screenconnect.com,connectwise.com,2022-11-22 16:28:42.318000+00:00,2022-11-22 16:59:37.551000+00:00,False,Successful,results.json_00000590-00000599.json,onetrust_pctab,['onetrust_pctab'],2871,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
596,senderscore.com,senderscore.org,2022-11-22 16:46:57.222000+00:00,2022-11-22 17:01:33.007000+00:00,False,Successful,results.json_00000590-00000599.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",2913,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
612,mobileiron.com,ivanti.com,2022-11-22 17:01:05.415000+00:00,2022-11-22 17:14:45.447000+00:00,False,Successful,results.json_00000610-00000619.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",2954,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
646,mimecast.net,mimecast.com,2022-11-22 17:30:33.226000+00:00,2022-11-22 17:47:08.435000+00:00,False,Successful,results.json_00000640-00000649.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",3068,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
649,gotomeeting.com,goto.com,2022-11-22 17:37:49.758000+00:00,2022-11-22 17:51:50.622000+00:00,False,Successful,results.json_00000640-00000649.json,trustarcbar,"['trustarcbar', 'trustarc_popup_hider', 'trustarcframe']",3134,"(0, 10000]",False,successful,successful,trustarc,other,trustarc,com,com
677,pb.com,pitneybowes.com,2022-11-22 18:12:31.728000+00:00,2022-11-22 18:28:13.964000+00:00,False,Successful,results.json_00000670-00000679.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",3261,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
679,ubnt.com,ui.com,2022-11-22 18:20:50.843000+00:00,2022-11-22 18:32:21.360000+00:00,False,Successful,results.json_00000670-00000679.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",3311,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
681,sv.com,twitter.com,2022-11-22 18:20:12.457000+00:00,2022-11-22 18:37:59.106000+00:00,False,Successful,results.json_00000680-00000689.json,Twitter,['Twitter'],3266,"(0, 10000]",False,successful,successful,Twitter,other,other,com,com
682,freshchat.com,freshworks.com,2022-11-22 18:21:00.515000+00:00,2022-11-22 18:38:10.198000+00:00,False,Successful,results.json_00000680-00000689.json,onetrust_pctab,['onetrust_pctab'],3310,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
684,exness.com,exness.uk,2022-11-22 18:27:29.132000+00:00,2022-11-22 18:42:40.308000+00:00,False,Successful,results.json_00000680-00000689.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",3323,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
690,adotmob.com,we-are-adot.com,2022-11-22 18:32:50.293000+00:00,2022-11-22 18:49:02.882000+00:00,False,Successful,results.json_00000690-00000699.json,cookiebar,['cookiebar'],3342,"(0, 10000]",False,successful,successful,cookiebar,cookiebar,cookiebar,com,com
694,siteground.biz,siteground.com,2022-11-22 18:38:10.365000+00:00,2022-11-22 18:55:41.116000+00:00,False,Successful,results.json_00000690-00000699.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",3378,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,biz,other
703,carfax.com,carfax.eu,2022-11-22 18:55:41.116000+00:00,2022-11-22 19:14:42.114000+00:00,False,Successful,results.json_00000700-00000709.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",3425,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
744,royalsocietypublishing.org,royalsociety.org,2022-11-22 19:45:46.523000+00:00,2022-11-22 20:07:02.390000+00:00,False,Successful,results.json_00000740-00000749.json,cookiecontrolcivic,['cookiecontrolcivic'],3664,"(0, 10000]",True,successful,successful,cookiecontrolcivic,other,cookiecontrolcivic,org,org
753,sleepycat.com,oracle.com,2022-11-22 19:57:28.103000+00:00,2022-11-22 20:29:35.701000+00:00,False,Successful,results.json_00000750-00000759.json,trustarc_popup_hider,"['trustarc_popup_hider', 'trustarcframe']",3732,"(0, 10000]",False,successful,successful,trustarc,other,trustarc,com,com
757,pantheonsite.io,pantheon.io,2022-11-22 20:08:44.123000+00:00,2022-11-22 20:32:52.925000+00:00,False,Successful,results.json_00000750-00000759.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",3746,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,io,io
775,awin1.com,awin.com,2022-11-22 20:36:44.865000+00:00,2022-11-22 20:50:12.541000+00:00,False,Successful,results.json_00000770-00000779.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",3809,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
785,cylance.com,blackberry.com,2022-11-22 20:50:12.542000+00:00,2022-11-22 21:01:32.333000+00:00,False,Successful,results.json_00000780-00000789.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",3872,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
789,ora.com,oreilly.com,2022-11-22 20:51:07.822000+00:00,2022-11-22 21:05:23.264000+00:00,False,Successful,results.json_00000780-00000789.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",3885,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
793,urbanairship.com,airship.com,2022-11-22 21:01:32.333000+00:00,2022-11-22 21:17:09.190000+00:00,False,Successful,results.json_00000790-00000799.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",3930,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
812,magento.com,adobe.com,2022-11-22 21:27:38.281000+00:00,2022-11-22 21:41:52.850000+00:00,False,Successful,results.json_00000810-00000819.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",4013,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
813,blizzard.cn,blizzardgames.cn,2022-11-22 21:27:02.178000+00:00,2022-11-22 21:44:11.037000+00:00,False,Successful,results.json_00000810-00000819.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",3971,"(0, 10000]",True,successful,successful,onetrust,onetrust,onetrust,cn,other
851,aol.de,yahoo.com,2022-11-22 22:32:54.520000+00:00,2022-11-22 22:48:13.126000+00:00,False,Successful,results.json_00000850-00000859.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",4204,"(0, 10000]",False,successful,successful,yahoo,other,other,de,de
853,timesonline.co.uk,thetimes.co.uk,2022-11-22 21:44:31.705000+00:00,2022-11-22 22:58:38.362000+00:00,False,Successful,results.json_00000850-00000859.json,tealium.com,['tealium.com'],4072,"(0, 10000]",False,successful,successful,tealium.com,other,tealium.com,uk,uk
863,scene7.com,adobe.com,2022-11-22 22:58:21.886000+00:00,2022-11-22 23:27:02.020000+00:00,False,Successful,results.json_00000860-00000869.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",4229,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
871,webofscience.com,clarivate.com,2022-11-22 23:13:24.959000+00:00,2022-11-22 23:45:12.574000+00:00,False,Successful,results.json_00000870-00000879.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",4284,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
875,altavista.com,yahoo.com,2022-11-22 23:38:21.365000+00:00,2022-11-22 23:47:32.062000+00:00,False,Successful,results.json_00000870-00000879.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",4339,"(0, 10000]",False,successful,successful,yahoo,other,other,com,com
880,myportfolio.com,adobe.com,2022-11-22 23:44:23.041000+00:00,2022-11-22 23:56:24.596000+00:00,False,Successful,results.json_00000880-00000889.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",4361,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
882,oath.com,yahooinc.com,2022-11-22 23:45:12.575000+00:00,2022-11-22 23:56:26.348000+00:00,False,Successful,results.json_00000880-00000889.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",4363,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
888,dyndns.tv,oracle.com,2022-11-22 23:52:29.843000+00:00,2022-11-23 00:09:36.936000+00:00,False,Successful,results.json_00000880-00000889.json,trustarc_popup_hider,"['trustarc_popup_hider', 'trustarcframe']",4395,"(0, 10000]",False,successful,successful,trustarc,other,trustarc,tv,other
891,sanofi-synthelabo.com,sanofi.com,2022-11-22 23:52:17.244000+00:00,2022-11-23 00:09:45.602000+00:00,False,Successful,results.json_00000890-00000899.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",4390,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
907,thebalancecareers.com,thebalancemoney.com,2022-11-23 00:53:52.997000+00:00,2022-11-23 00:59:06.591000+00:00,False,Successful,results.json_00000900-00000909.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",4474,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
